year,month,day,hour,consumption
2013,5,11,0,1.67
2013,5,11,1,1.25
2013,5,11,2,4.52
2013,5,11,3,4.49
2013,5,11,4,3.22
2013,5,11,5,4.59
2013,5,11,6,17.14
2013,5,11,7,19.77
2013,5,11,8,18.04
2013,5,11,9,19.67
2013,5,11,10,19.27
2013,5,11,11,16.77
2013,5,11,12,7.73
2013,5,11,13,6.68
2013,5,11,14,18.09
2013,5,11,15,15.84
2013,5,11,16,15.23
2013,5,11,17,19.33
2013,5,11,18,18.44
2013,5,11,19,18.12
2013,5,11,20,2.76
2013,5,11,21,5.46
2013,5,11,22,0.96
2013,5,11,23,3.59
2013,5,12,0,0.43
2013,5,12,1,3.41
2013,5,12,2,3.35
2013,5,12,3,4.76
2013,5,12,4,5.57
2013,5,12,5,5.58
2013,5,12,6,19.41
2013,5,12,7,18.0
2013,5,12,8,15.17
2013,5,12,9,15.25
2013,5,12,10,15.99
2013,5,12,11,15.19
2013,5,12,12,7.54
2013,5,12,13,7.04
2013,5,12,14,17.01
2013,5,12,15,19.56
2013,5,12,16,17.41
2013,5,12,17,17.42
2013,5,12,18,18.98
2013,5,12,19,15.14
2013,5,12,20,0.18
2013,5,12,21,1.22
2013,5,12,22,2.01
2013,5,12,23,5.21
2013,5,13,0,2.48
2013,5,13,1,4.03
2013,5,13,2,4.72
2013,5,13,3,2.23
2013,5,13,4,2.43
2013,5,13,5,2.57
2013,5,13,6,15.12
2013,5,13,7,18.4
2013,5,13,8,19.58
2013,5,13,9,19.31
2013,5,13,10,19.11
2013,5,13,11,19.01
2013,5,13,12,6.28
2013,5,13,13,7.0
2013,5,13,14,15.06
2013,5,13,15,17.88
2013,5,13,16,18.0
2013,5,13,17,17.26
2013,5,13,18,18.35
2013,5,13,19,18.79
2013,5,13,20,3.39
2013,5,13,21,1.84
2013,5,13,22,4.83
2013,5,13,23,4.4
2013,5,14,0,2.22
2013,5,14,1,5.36
2013,5,14,2,5.22
2013,5,14,3,5.26
2013,5,14,4,1.5
2013,5,14,5,2.5
2013,5,14,6,18.24
2013,5,14,7,19.85
2013,5,14,8,15.55
2013,5,14,9,15.69
2013,5,14,10,19.7
2013,5,14,11,16.24
2013,5,14,12,6.05
2013,5,14,13,7.56
2013,5,14,14,18.39
2013,5,14,15,15.06
2013,5,14,16,16.58
2013,5,14,17,19.14
2013,5,14,18,16.87
2013,5,14,19,15.07
2013,5,14,20,4.4
2013,5,14,21,3.71
2013,5,14,22,6.0
2013,5,14,23,4.66
2013,5,15,0,0.61
2013,5,15,1,4.63
2013,5,15,2,2.18
2013,5,15,3,4.48
2013,5,15,4,1.05
2013,5,15,5,3.7
2013,5,15,6,15.49
2013,5,15,7,18.84
2013,5,15,8,17.37
2013,5,15,9,19.97
2013,5,15,10,16.95
2013,5,15,11,18.11
2013,5,15,12,6.95
2013,5,15,13,7.49
2013,5,15,14,19.43
2013,5,15,15,18.43
2013,5,15,16,17.94
2013,5,15,17,15.95
2013,5,15,18,15.11
2013,5,15,19,16.59
2013,5,15,20,0.51
2013,5,15,21,1.21
2013,5,15,22,3.35
2013,5,15,23,1.34
2013,5,16,0,5.76
2013,5,16,1,2.11
2013,5,16,2,2.37
2013,5,16,3,4.58
2013,5,16,4,5.67
2013,5,16,5,3.74
2013,5,16,6,15.13
2013,5,16,7,19.91
2013,5,16,8,19.43
2013,5,16,9,17.91
2013,5,16,10,18.77
2013,5,16,11,16.05
2013,5,16,12,6.09
2013,5,16,13,6.19
2013,5,16,14,19.92
2013,5,16,15,16.16
2013,5,16,16,18.8
2013,5,16,17,17.25
2013,5,16,18,18.91
2013,5,16,19,18.01
2013,5,16,20,2.48
2013,5,16,21,2.29
2013,5,16,22,3.07
2013,5,16,23,5.51
2013,5,17,0,1.74
2013,5,17,1,3.87
2013,5,17,2,5.95
2013,5,17,3,1.52
2013,5,17,4,2.73
2013,5,17,5,1.07
2013,5,17,6,18.16
2013,5,17,7,19.88
2013,5,17,8,19.26
2013,5,17,9,16.44
2013,5,17,10,15.09
2013,5,17,11,15.65
2013,5,17,12,7.42
2013,5,17,13,7.06
2013,5,17,14,19.83
2013,5,17,15,18.93
2013,5,17,16,17.95
2013,5,17,17,16.18
2013,5,17,18,15.74
2013,5,17,19,19.02
2013,5,17,20,0.16
2013,5,17,21,2.56
2013,5,17,22,2.4
2013,5,17,23,5.94
2013,5,18,0,5.07
2013,5,18,1,0.89
2013,5,18,2,4.09
2013,5,18,3,3.41
2013,5,18,4,5.79
2013,5,18,5,0.81
2013,5,18,6,17.52
2013,5,18,7,19.42
2013,5,18,8,18.8
2013,5,18,9,15.15
2013,5,18,10,16.07
2013,5,18,11,16.76
2013,5,18,12,7.37
2013,5,18,13,7.79
2013,5,18,14,18.9
2013,5,18,15,16.95
2013,5,18,16,15.74
2013,5,18,17,15.58
2013,5,18,18,16.98
2013,5,18,19,19.48
2013,5,18,20,1.39
2013,5,18,21,0.11
2013,5,18,22,4.94
2013,5,18,23,2.26
2013,5,19,0,0.47
2013,5,19,1,0.26
2013,5,19,2,4.43
2013,5,19,3,0.99
2013,5,19,4,5.1
2013,5,19,5,5.61
2013,5,19,6,19.04
2013,5,19,7,15.88
2013,5,19,8,15.0
2013,5,19,9,19.95
2013,5,19,10,17.89
2013,5,19,11,16.22
2013,5,19,12,6.27
2013,5,19,13,6.72
2013,5,19,14,15.03
2013,5,19,15,15.43
2013,5,19,16,19.86
2013,5,19,17,18.52
2013,5,19,18,18.28
2013,5,19,19,16.49
2013,5,19,20,1.27
2013,5,19,21,3.72
2013,5,19,22,2.62
2013,5,19,23,3.33
2013,5,20,0,5.41
2013,5,20,1,3.3
2013,5,20,2,3.81
2013,5,20,3,2.1
2013,5,20,4,4.17
2013,5,20,5,0.69
2013,5,20,6,19.45
2013,5,20,7,19.65
2013,5,20,8,19.58
2013,5,20,9,19.52
2013,5,20,10,15.62
2013,5,20,11,17.56
2013,5,20,12,7.47
2013,5,20,13,7.49
2013,5,20,14,15.44
2013,5,20,15,16.54
2013,5,20,16,19.67
2013,5,20,17,18.13
2013,5,20,18,15.33
2013,5,20,19,18.76
2013,5,20,20,0.5
2013,5,20,21,1.37
2013,5,20,22,5.56
2013,5,20,23,0.96
2013,5,21,0,1.51
2013,5,21,1,4.89
2013,5,21,2,4.44
2013,5,21,3,2.71
2013,5,21,4,1.52
2013,5,21,5,4.25
2013,5,21,6,17.18
2013,5,21,7,15.19
2013,5,21,8,17.43
2013,5,21,9,18.69
2013,5,21,10,15.5
2013,5,21,11,18.48
2013,5,21,12,7.43
2013,5,21,13,7.43
2013,5,21,14,19.83
2013,5,21,15,16.29
2013,5,21,16,19.02
2013,5,21,17,15.65
2013,5,21,18,17.48
2013,5,21,19,15.42
2013,5,21,20,1.91
2013,5,21,21,3.45
2013,5,21,22,3.42
2013,5,21,23,0.83
2013,5,22,0,4.54
2013,5,22,1,1.65
2013,5,22,2,0.75
2013,5,22,3,2.25
2013,5,22,4,5.69
2013,5,22,5,5.94
2013,5,22,6,16.97
2013,5,22,7,18.54
2013,5,22,8,17.05
2013,5,22,9,15.21
2013,5,22,10,15.16
2013,5,22,11,19.47
2013,5,22,12,6.73
2013,5,22,13,7.85
2013,5,22,14,17.59
2013,5,22,15,17.61
2013,5,22,16,16.54
2013,5,22,17,18.21
2013,5,22,18,15.03
2013,5,22,19,16.85
2013,5,22,20,5.06
2013,5,22,21,5.53
2013,5,22,22,2.66
2013,5,22,23,4.78
2013,5,23,0,1.84
2013,5,23,1,5.6
2013,5,23,2,0.84
2013,5,23,3,2.51
2013,5,23,4,0.39
2013,5,23,5,0.77
2013,5,23,6,16.68
2013,5,23,7,17.91
2013,5,23,8,19.84
2013,5,23,9,18.12
2013,5,23,10,17.14
2013,5,23,11,18.89
